wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
n05718556	bn:00031853n	n	music, euphony	música, eufonía	any agreeable (pleasing and harmonious) sounds	0.8	11	9
n07020895	bn:00056443n	n	music	musica, música, melómano	an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner	0.428	0	4
n07025900	bn:00019566n	n	classical_music, classical, serious_music	musica_academica, musica_clasica, musica_culta, musica_docta, musica_orquestal, musica_selecta, musica_seria, clásico, música_culta, música_docta, música_seria, música_clásica, música_selecta, musica_académica, música_academica, música_académica, música_orquestal	traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste	0.602	2	5
n07054433	bn:00025149n	n	dance_music	música_de_baile	music to dance to	0.899	1	5
n07026239	bn:00017585n	n	chamber_music	musica_de_camara, musico_de_camara, musica_de_cámara, musico_de_cámara, música_de_camara, música_de_cámara, músico_de_camara, músico_de_cámara	serious music performed by a small group of musicians	0.797	3	6
n07281375	bn:00046286n	n	incidental_music	musica_de_escena, musica_incidental, música_de_escena, música_de_escena., música_incidental	music composed to accompany the action of a drama or to fill intervals between scenes	0.541	2	6
n00544731	bn:00046973n	n	instrumental_music	música_instrumental	music produced by playing a musical instrument	0.822	9	7
n07033007	bn:00019010n	n	religious_music, church_music	musica_liturgica, musica_religiosa, musica_sacra, musica_sagrada, música_sacra, música_sagrada, música_litúrgica, música_religiosa	genre of music composed for performance as part of religious ceremonies	0.428	2	5
n07059255	bn:00063586n	n	popular_music, popular_music_genre	musica_popular, música_popular	any genre of music having wide appeal (but usually only for a short time)	0.742	2	5
n07065740	bn:00065237n	n	punk_rock, punk	musica_punk, punk_rock, punk, rock_punk, rockpunk, música_punk	rock music with deliberately offensive lyrics expressing anger and social alienation; in part a reaction against progressive rock	0.72	4	7
n07449676	bn:00066281n	n	rave	musica_rave, rave_music, rave, música_rave	a dance party that lasts all night and electronically synthesized music is played	0.925	10	8
n07058064	bn:00076342n	n	techno	musica_techno, musica_tecno, techno, tecno, música_tecno, música_techno	a style of fast heavy electronic dance music usually without vocals	0.698	2	6
n00545344	bn:00080174n	n	vocal_music	musica_vocal, música_vocal	music that is vocalized (as contrasted with instrumental music)	0.69	9	7
a02867783	bn:00107056a	a	musical	musical	characterized by or capable of producing music	1.0	99	99
n04983402	bn:00056474n	n	musicality, musicalness	musicalidad	the property of sounding like music	0.424	7	5
v01706014	bn:00093533v	v	set_to_music	musicar	write (music) for (a text)	1.0	99	99
n10339966	bn:00056475n	n	musician	músico	artist who composes or conducts music as a profession	0.769	10	6
n10343211	bn:00056577n	n	mycophagist, mycophage	mycophagist, mycophage	a person or animal who eats fungi (especially mushrooms)	0.005	11	7
n04989362	bn:00056892n	n	nasality	nasalidad	a quality of the voice that is produced by nasal resonators	0.047	8	6
a01577771	bn:00107155a	a	natural	natural	(of a musical note) being neither raised nor lowered by one chromatic semitone	1.0	99	99
n06871127	bn:00024041n	n	quarter_note, crotchet	negra, nota_negra, semiminima, ♩	a musical note having the time value of a quarter of a whole note	0.582	8	8
n11172045	bn:00025108n	n	Melba, Dame_Nellie_Melba, Helen_Porter_Mitchell	nelia_melba, nellie_melba, nelly_melba	Australian operatic soprano (1861-1931)	0.477	14	10
n11219851	bn:00057617n	n	Paganini, Niccolo_Paganini	niccolo_paganini, nicolas_paganini, nicolo_paganini, paganini, nicolò_paganini, nicoló_paganini, niccolò_paganini, niccoló_paganini, nicolás_paganini	Italian violinist and composer of music for the violin (1782-1840)	0.394	12	8
n11262929	bn:00057720n	n	Rimsky-Korsakov, Nikolai_Andreyevich_Rimsky-Korsakov, Rimski-Korsakov, Nikolai_Andreyevich_Rimski-Korsakov	nicolai_rimsky-korsakov, nicolai_rimsky_korsakov, nicolas_rimski-korsakov, nicolas_rimski_korsakov, nikolai_rimski-korsakof, nikolai_rimski-korsakov, nikolai_rimski_korsakof, nikolai_rimski_korsakov, nikolai_rimsky-korsakoff, nikolai_rimsky-korsakov, nikolai_rimsky_korsakoff, nikolai_rimsky_korsakov, nikolay_rimski-korsakov, nikolay_rimski_korsakov, nikolay_rimsky-korsakov, rimski-korsakov, rimski_korsakov, rimsky-korsakov, rimsky_korsakov, rimski, rimski-kórsakov, rimski_kórsakov, nicolas_rimski-kórsakov, nicolas_rimski_kórsakov, nicolás_rimski-korsakov, nicolás_rimski-kórsakov, nicolás_rimski_korsakov, nicolás_rimski_kórsakov, nikolai_rimski-kórsakov, nikolai_rimski_kórsakov, nikolai_rimsky-kórsakov, nikolai_rimsky_kórsakov, nikolay_rimski-kórsakov, nikolay_rimski_kórsakov, nikolái_rimski-korsakov, nikolái_rimski-kórsakov, nikolái_rimski_korsakov, nikolái_rimski_kórsakov, nikolái_rimsky-korsakov, nikolái_rimsky-kórsakov, nikolái_rimsky_korsakov, nikolái_rimsky_kórsakov, nikolai_andreievich_rimski-korsakov, nikolai_andreievich_rimski-kórsakov, nikolai_andreievich_rimski_korsakov, nikolai_andreievich_rimski_kórsakov, nikolai_andreyevich_rimski-korsakov, nikolai_andreyevich_rimski-kórsakov, nikolai_andreyevich_rimski_korsakov, nikolai_andreyevich_rimski_kórsakov, nikolai_andréievich_rimski-korsakov, nikolai_andréievich_rimski-kórsakov, nikolai_andréievich_rimski_korsakov, nikolai_andréievich_rimski_kórsakov, nikolai_andréyevich_rimski-korsakov, nikolai_andréyevich_rimski-kórsakov, nikolai_andréyevich_rimski_korsakov, nikolai_andréyevich_rimski_kórsakov, nikolái_andreievich_rimski-korsakov, nikolái_andreievich_rimski-kórsakov, nikolái_andreievich_rimski_korsakov, nikolái_andreievich_rimski_kórsakov, nikolái_andreyevich_rimski-korsakov, nikolái_andreyevich_rimski-kórsakov, nikolái_andreyevich_rimski_korsakov, nikolái_andreyevich_rimski_kórsakov, nikolái_andréievich_rimski-korsakov, nikolái_andréievich_rimski-kórsakov, nikolái_andréievich_rimski_korsakov, nikolái_andréievich_rimski_kórsakov, nikolái_andréyevich_rimski-korsakov, nikolái_andréyevich_rimski-kórsakov, nikolái_andréyevich_rimski_korsakov, nikolái_andréyevich_rimski_kórsakov	Russian composer of operas and orchestral works; often used themes from folk music (1844-1908)	0.492	12	8
n11207768	bn:00013127n	n	Nilsson, Brigit_Nilsson, Marta_Brigit_Nilsson	nilsson	Swedish operatic soprano who played Wagnerian roles (born in 1918)	0.296	13	9
n09919690	bn:00018670n	n	choirboy	niño_cantor, niño_de_coro	a boy who sings in a choir	0.516	13	9
n07047679	bn:00057845n	n	nocturne, notturno	nocturno, serenata_nocturna	a pensive lyrical piece of music (especially for the piano)	0.699	2	6
n04727694	bn:00058147n	n	note	nota	a characteristic emotional quality	1.0	7	5
n06865345	bn:00056463n	n	note, musical_note, tone	nota_de_musica, nota_musical, nota, tono, nota_de_música	a notation representing the pitch and duration of a musical sound	0.465	7	7
n06814870	bn:00056462n	n	musical_notation	notacion_europea_tradicional, notacion_musical, sistema_de_notacion_musical, notación_musical, sistema_de_notación_musical, notación_europea_tradicional	(music) notation used by musicians	0.496	6	6
n06867675	bn:00072743n	n	solmization, solmisation	notacion_latina, notacion_musical_latina, notación_latina, notación_musical_latina, sistema_de_notacion_musical_latina, sistema_de_notacion_musical_latino, sistema_de_notación_musical_latina, sistema_de_notación_musical_latino, sistema_latino_de_notacion_musical, sistema_latino_de_notación_musical, sistema_de_notacion_musical_europea, sistema_de_notación_musical_europea, sistema_europeo_de_notacion_musical, sistema_europeo_de_notación_musical	a system of naming the notes of a musical scale by syllables instead of letters	0.381	7	7
n07040820	bn:00059923n	n	overture	obertura, ouverture, overtura	orchestral music played at the beginning of an opera or oratorio	0.716	1	5
n07029581	bn:00058426n	n	obbligato, obligato	obligado	a persistent but subordinate motif	1.0	4	8
n03839172	bn:00058483n	n	oboe_da_caccia	oboe_da_caccia, oboe_de_caccia, oboe	an alto oboe; precursor of the English horn	1.0	17	13
n03839276	bn:00058482n	n	oboe_d'amore	oboe_d'amore, oboe_de_amore, oboe_de_amor	an oboe pitched a minor third lower than the ordinary oboe; used to perform baroque music	0.765	17	13
n10369317	bn:00058484n	n	oboist	oboista, oboe, oboísta	a musician who plays the oboe	1.0	11	7
n07007684	bn:00028610n	n	dramatic_composition, dramatic_work	obra_dramática, composición_dramática	a play for performance on the stage or television or in a movie etc.	0.06	5	5
n07045637	bn:00059680n	n	ostinato	obstinato, ostinato	a musical phrase repeated over and over during a composition	0.87	4	8
n07042137	bn:00058610n	n	octet, octette	octava, octeto	a musical composition written for eight performers	1.0	2	6
n08248047	bn:00058608n	n	octet, octette	octeto	eight performers or singers who perform together	1.0	8	6
n05658106	bn:00000446n	n	absolute_pitch, perfect_pitch	oido_absoluto, oido_perfecto, oído_absoluto, oído_perfecto, afinación_perfecta	the ability to identify the pitch of a tone	0.382	11	9
n07384614	bn:00042002n	n	grunt, oink	oink	the short low gruff noise of the kind made by hogs	0.333	9	7
n07062315	bn:00044145n	n	hillbilly_music	old_time_music	country music originating in mountainous regions of southern United States	0.649	5	8
n10377542	bn:00058951n	n	omnivore	omnívoro	a person who eats all kinds of foods	0.333	11	7
n04727883	bn:00079901n	n	vibration, vibe	onda, rollo, vibraciones, vibra, vibración	a distinctive emotional aura experienced instinctively	0.333	7	5
n09541346	bn:00079028n	n	undine	ondina	any of various female water spirits	0.692	11	9
n07026352	bn:00059107n	n	opera	opera, ópera	a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes	0.553	3	6
n06592281	bn:00068067n	n	rock_opera	opera_rock, ópera_rock	albums of rock music that aspired to the status of art; first appeared in the 1960s	0.66	13	9
n07027090	bn:00051138n	n	operetta, light_opera	operetas, operetta, operette, opereta, opérette	a short amusing opera	0.499	5	8
n08229605	bn:00040647n	n	glee_club	orfeón	a club organized to sing together	0.2	9	7
n10382825	bn:00059486n	n	organist	organista	a person who plays an organ	0.604	11	7
n03854065	bn:00059461n	n	organ, pipe_organ	organo, órgano	wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard	0.344	13	9
n02701730	bn:00003442n	n	American_organ	órgano_americano	a free-reed instrument in which air is drawn in through reeds by suction bellows	0.531	14	10
n08248411	bn:00017587n	n	chamber_orchestra	orquesta_de_cámara	small orchestra; usually plays classical music	0.718	9	7
n08248747	bn:00074690n	n	string_orchestra	orquesta_de_cuerdas, orquesta_de_cuerda	an orchestra playing only stringed instruments	0.942	9	7
n07038615	bn:00059288n	n	orchestration	orquestación	an arrangement of a piece of music for performance by an orchestra or band	1.0	3	7
v01707737	bn:00091189v	v	orchestrate	orquestar	write an orchestra score for	1.0	99	99
n08248157	bn:00059285n	n	orchestra	orquestra, orquesta	a musical organization consisting of a group of instrumentalists including string players	0.72	8	6
n01008801	bn:00059289n	n	orchestration	orquestración	an arrangement of events that attempts to achieve a maximum effect	0.25	12	10
n11026597	bn:00042742n	n	Hammerstein, Oscar_Hammerstein, Oscar_Hammerstein_II	oscar_hammerstein_ii, oscar_hammerstein	United States lyricist who collaborated on many musical comedies (most successfully with Richard Rodgers) (1895-1960)	0.299	11	7
n11258214	bn:00059731n	n	Respighi, Ottorino_Respighi	ottorino_respighi, respighi	Italian composer remembered for his symphonic poems (1879-1936)	0.552	12	8
n06688751	bn:00059828n	n	ovation, standing_ovation	ovación	enthusiastic recognition (especially one accompanied by loud applause)	0.078	6	6
n07390049	bn:00063048n	n	plop	paf	the noise of a rounded object dropping into a liquid without a splash	0.5	9	7
n07295629	bn:00061123n	n	wages, reward, payoff	pago, recompensa	a recompense for worthy acts or retribution for wrongdoing	0.333	10	8
n04387400	bn:00076001n	n	tambourine	pandereta, pandero	a shallow drum with a single drumhead and with metallic disks in the sides	0.408	14	10
v01723963	bn:00091442v	v	parody	parodiar, satirizar	make a spoof of or make fun of	0.667	99	99
n07052799	bn:00060833n	n	partsong	part_song, partsong	a song with two or more voice parts	0.682	3	7
n07031534	bn:00080194n	n	voice_part	parte_para_voz	a part written for a singer	0.667	3	7
n07030718	bn:00060770n	n	part, voice	particella, parte, voz	the melody carried by a particular voice or instrument in polyphonic music	0.596	2	6
n09900981	bn:00016701n	n	catch, match	partido	a person regarded as a good matrimonial prospect	0.5	9	5
n07047165	bn:00060814n	n	partita	partita	(music) an instrumental suite common in the 18th century	0.812	3	7
n07047011	bn:00075108n	n	suite	partita, suite_orquestal, suite	a musical composition of several movements only loosely connected	0.738	2	6
n06815714	bn:00056470n	n	score, musical_score	partitura	a written form of a musical composition; parts for different instruments appear on separate staves on large pages	0.556	3	7
n06816106	bn:00070987n	n	sheet_music	partitura	a musical composition in printed or written form	0.579	2	6
n06400271	bn:00060882n	n	passage	pasaje	a section of text; particularly a section of medium length	0.333	2	6
n07044917	bn:00056465n	n	passage, musical_passage	pasaje	a short section of a musical composition	0.867	2	6
n07058668	bn:00065699n	n	quickstep	paso_rápido	military march accompanying quick time	1.0	4	7
n07056265	bn:00060869n	n	paso_doble	paso-doble, paso_doble, pasodobles, pasodoble	music in march time composed for dancing the paso doble; often played at bull fights	0.371	2	6
n03897520	bn:00060947n	n	pastiche	pastiche, pastisz	a work of art that imitates the style of some previous work	0.182	12	8
n07043824	bn:00045863n	n	pastorale, pastoral, idyll, idyl	pastoral	a musical composition that evokes rural life	0.818	2	6
n11301279	bn:00061069n	n	Simon, Paul_Simon	paul_frederic_simon, paul_simon	United States singer and songwriter (born in 1942)	0.584	12	8
n06865177	bn:00067374n	n	rest	pausa_musical, pausa, silencio	a musical notation indicating a silence of a specified duration	0.734	7	7
n06861860	bn:00073805n	n	staff, stave	pauta_musical, pauta, pentagramas, pentagrama, personal, varas	(music) the system of five horizontal lines on which the musical notes are written	0.643	7	7
n07056406	bn:00061078n	n	pavane, pavan	pavana	music composed for dancing the pavane	0.583	2	6
n13284973	bn:00061124n	n	payola	payola	a bribe given to a disc jockey to induce him to promote a particular record	0.545	11	9
n06858674	bn:00061230n	n	pedal_point, pedal	pedal	a sustained bass note	0.924	8	8
n05711503	bn:00007133n	n	auditory_perception, sound_perception	percepción_del_sonido	the perception of sound as a meaningful phenomenon	0.086	9	7
